epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5433,1.85102,3.77379,1.82562,0.0027,0.49198,0.02044,0.00626,1.96787,3.72608,1.82061,0.0784,0.0024,0.0024
2,21.4598,1.49159,3.37085,1.51687,0.003,0.50516,0.04902,0.01661,1.68761,3.685,1.67662,0.0558515,0.00485149,0.00485149
3,28.2525,1.39239,2.8541,1.4528,0.4275,0.19944,0.22326,0.10247,1.44464,3.03566,1.44684,0.0332535,0.00725348,0.00725348
4,34.9174,1.46716,2.45865,1.45764,0.61888,0.07627,0.0506,0.01737,2.42666,3.67758,2.11061,0.010606,0.00960597,0.00960597
5,41.5925,1.55369,2.32535,1.48755,0.0956,0.1432,0.05398,0.01834,2.30692,3.88655,2.02701,0.009604,0.009604,0.009604
6,48.3135,1.52769,2.2936,1.49585,0.15336,0.29978,0.13323,0.04688,2.34324,3.95926,2.02644,0.009505,0.009505,0.009505
7,55.0245,1.56966,2.18688,1.47083,0.05918,0.17557,0.03583,0.01013,2.68806,4.07324,2.3246,0.009406,0.009406,0.009406
8,61.756,1.56925,2.18002,1.51057,0.00185,0.27992,0.00388,0.00103,3.62079,4.05931,2.85357,0.009307,0.009307,0.009307
9,68.4736,1.58735,2.15022,1.54779,0.32784,0.41472,0.30512,0.1327,1.80499,2.6599,1.83535,0.009208,0.009208,0.009208
10,75.347,1.63029,2.14822,1.59215,0.0238,0.26884,0.02235,0.00717,2.42087,5.69601,2.18165,0.009109,0.009109,0.009109
11,82.0198,1.52803,1.93471,1.47564,0.39333,0.23244,0.20522,0.08081,2.06586,2.98626,1.96976,0.00901,0.00901,0.00901
12,88.8582,1.50555,1.90545,1.48287,0.3616,0.47555,0.40102,0.18036,1.71436,2.1666,1.70135,0.008911,0.008911,0.008911
13,95.6651,1.52261,1.85493,1.47135,0.36845,0.44165,0.34692,0.17011,1.73242,2.87807,1.69161,0.008812,0.008812,0.008812
14,102.951,1.52316,1.79739,1.47347,0.3922,0.44747,0.35194,0.17373,1.72414,2.69101,1.62106,0.008713,0.008713,0.008713
15,110.32,1.49116,1.70936,1.44042,0.44074,0.52486,0.40422,0.18758,1.73105,2.39812,1.61927,0.008614,0.008614,0.008614
16,117.968,1.44093,1.70244,1.44366,0.40965,0.47335,0.38482,0.17381,1.79052,2.38552,1.6766,0.008515,0.008515,0.008515
17,125.062,1.49876,1.7257,1.43282,0.49572,0.5679,0.51043,0.23682,1.6408,1.85024,1.61158,0.008416,0.008416,0.008416
18,132.002,1.44892,1.65888,1.44325,0.45337,0.5342,0.46966,0.22719,1.58439,1.79578,1.53174,0.008317,0.008317,0.008317
19,138.909,1.44184,1.59811,1.42193,0.2959,0.37186,0.2536,0.1103,1.82699,2.28873,1.70384,0.008218,0.008218,0.008218
20,145.918,1.43811,1.64577,1.40913,0.29104,0.23264,0.19768,0.07682,2.21949,2.56681,2.03278,0.008119,0.008119,0.008119
21,152.846,1.40713,1.55394,1.40384,0.39584,0.41086,0.3405,0.15397,1.80682,1.9252,1.63749,0.00802,0.00802,0.00802
22,159.765,1.41798,1.55946,1.4118,0.5291,0.47667,0.50658,0.22392,1.61326,1.76422,1.52851,0.007921,0.007921,0.007921
23,166.809,1.39961,1.51114,1.39514,0.6339,0.47376,0.54081,0.26499,1.55982,1.77206,1.53938,0.007822,0.007822,0.007822
24,174.014,1.39684,1.50195,1.40949,0.57935,0.50417,0.51846,0.241,1.57633,1.8357,1.49427,0.007723,0.007723,0.007723
25,181.35,1.35634,1.41819,1.35128,0.54677,0.49183,0.50279,0.25052,1.58925,1.7455,1.49346,0.007624,0.007624,0.007624
26,188.841,1.37542,1.43821,1.39007,0.5827,0.53909,0.53384,0.26487,1.58825,1.91067,1.49151,0.007525,0.007525,0.007525
27,195.929,1.35634,1.40952,1.37983,0.54064,0.54538,0.50373,0.25745,1.55756,1.81093,1.44928,0.007426,0.007426,0.007426
28,203.026,1.33369,1.38266,1.37401,0.43303,0.4815,0.47224,0.21657,1.70115,1.94006,1.56313,0.007327,0.007327,0.007327
29,210.113,1.35824,1.40869,1.39114,0.43872,0.54281,0.44576,0.20914,1.57983,1.85923,1.51564,0.007228,0.007228,0.007228
30,217.141,1.34521,1.38413,1.35658,0.47016,0.56989,0.52971,0.24838,1.55814,1.61362,1.46523,0.007129,0.007129,0.007129
31,224.149,1.31994,1.34934,1.32685,0.52307,0.5377,0.51056,0.25268,1.53133,1.74735,1.45534,0.00703,0.00703,0.00703
32,231.294,1.3238,1.36206,1.33065,0.41271,0.55594,0.4213,0.17913,1.78475,1.99172,1.62792,0.006931,0.006931,0.006931
33,238.365,1.27857,1.27763,1.32093,0.62823,0.49057,0.49415,0.23108,1.60423,1.68155,1.48215,0.006832,0.006832,0.006832
34,245.45,1.30179,1.30842,1.32563,0.52196,0.57438,0.52001,0.25696,1.54718,1.59471,1.51321,0.006733,0.006733,0.006733
35,252.41,1.27934,1.25864,1.31595,0.49733,0.60616,0.54073,0.27009,1.51006,1.60973,1.45627,0.006634,0.006634,0.006634
36,259.948,1.23001,1.25021,1.28359,0.60062,0.52242,0.51725,0.23195,1.70117,1.65763,1.67954,0.006535,0.006535,0.006535
37,266.864,1.30688,1.30369,1.34208,0.56156,0.61723,0.55418,0.26782,1.56701,1.50117,1.52407,0.006436,0.006436,0.006436
38,273.78,1.27121,1.2604,1.31694,0.59377,0.48759,0.50699,0.25546,1.56668,1.57946,1.46341,0.006337,0.006337,0.006337
39,280.755,1.21516,1.23605,1.27065,0.52892,0.54143,0.52385,0.25121,1.6178,1.58325,1.53106,0.006238,0.006238,0.006238
40,287.768,1.25236,1.21742,1.28519,0.49319,0.54669,0.5012,0.25583,1.5922,1.59877,1.49386,0.006139,0.006139,0.006139
41,294.713,1.23691,1.23172,1.29041,0.47622,0.54135,0.46961,0.23871,1.58255,1.6303,1.4972,0.00604,0.00604,0.00604
42,301.91,1.2444,1.19537,1.29819,0.64932,0.50375,0.5687,0.29842,1.56424,1.41038,1.50452,0.005941,0.005941,0.005941
43,308.496,1.20124,1.12673,1.25146,0.57346,0.56742,0.55248,0.26528,1.62549,1.40008,1.52749,0.005842,0.005842,0.005842
44,315.945,1.23103,1.1897,1.27715,0.55645,0.53075,0.49364,0.24657,1.53967,1.49724,1.47999,0.005743,0.005743,0.005743
45,322.989,1.22313,1.14818,1.28293,0.53921,0.60806,0.57292,0.28293,1.50701,1.38307,1.4538,0.005644,0.005644,0.005644
46,329.908,1.16465,1.1074,1.25541,0.49504,0.54234,0.45546,0.2376,1.57109,1.78302,1.48724,0.005545,0.005545,0.005545
47,336.663,1.20078,1.16993,1.2807,0.5624,0.52499,0.52062,0.25928,1.53541,1.5754,1.47347,0.005446,0.005446,0.005446
48,343.564,1.20752,1.12285,1.2897,0.52106,0.46288,0.46636,0.20004,1.85015,1.78498,1.74676,0.005347,0.005347,0.005347
49,350.149,1.18077,1.13543,1.26802,0.45903,0.59756,0.51031,0.24947,1.61224,1.42289,1.53919,0.005248,0.005248,0.005248
50,356.797,1.16418,1.08129,1.25721,0.55786,0.64688,0.55091,0.29446,1.46395,1.38623,1.44694,0.005149,0.005149,0.005149
51,363.874,1.19451,1.13101,1.26963,0.45125,0.648,0.51985,0.263,1.51069,1.44695,1.41846,0.00505,0.00505,0.00505
52,370.969,1.14631,1.08608,1.24998,0.54178,0.56923,0.56823,0.31229,1.50592,1.3318,1.42362,0.004951,0.004951,0.004951
53,378.021,1.15439,1.07431,1.22446,0.48803,0.58663,0.50896,0.25728,1.55506,1.52588,1.4341,0.004852,0.004852,0.004852
54,385.124,1.18964,1.08667,1.24483,0.61696,0.52976,0.51246,0.25063,1.6434,1.67536,1.57634,0.004753,0.004753,0.004753
55,392.294,1.11381,1.07572,1.20956,0.5584,0.54476,0.52704,0.28682,1.52418,1.45831,1.47496,0.004654,0.004654,0.004654
56,399.511,1.14137,1.05528,1.22216,0.62651,0.62296,0.62807,0.33067,1.53304,1.2863,1.4853,0.004555,0.004555,0.004555
57,406.501,1.15444,1.09255,1.25759,0.58131,0.62053,0.58349,0.30955,1.49038,1.28205,1.42663,0.004456,0.004456,0.004456
58,413.709,1.10376,1.05602,1.22302,0.53353,0.63217,0.56468,0.30002,1.48827,1.32617,1.43931,0.004357,0.004357,0.004357
59,421.157,1.08398,1.0244,1.19007,0.63994,0.59909,0.59228,0.3267,1.50863,1.26141,1.4262,0.004258,0.004258,0.004258
60,428.467,1.10342,1.00527,1.22144,0.55378,0.5968,0.55514,0.29418,1.55634,1.36382,1.50305,0.004159,0.004159,0.004159
61,435.729,1.09062,0.95229,1.20277,0.50998,0.61385,0.57281,0.2961,1.47594,1.3584,1.4498,0.00406,0.00406,0.00406
62,443.351,1.06028,0.97009,1.1886,0.56952,0.6036,0.59099,0.31073,1.4766,1.28248,1.44223,0.003961,0.003961,0.003961
63,451.01,1.06747,0.95785,1.19732,0.56325,0.62993,0.59078,0.30934,1.48523,1.31178,1.44997,0.003862,0.003862,0.003862
64,458.39,1.10299,0.96159,1.20247,0.58087,0.61676,0.56856,0.31016,1.48851,1.3175,1.47052,0.003763,0.003763,0.003763
65,465.761,1.03545,0.94129,1.17545,0.55069,0.61321,0.5812,0.30247,1.52304,1.40322,1.46257,0.003664,0.003664,0.003664
66,472.865,1.08521,0.97459,1.19555,0.53271,0.61497,0.55838,0.29868,1.55541,1.41229,1.49248,0.003565,0.003565,0.003565
67,479.922,1.04845,0.94994,1.19531,0.53042,0.60998,0.56995,0.31226,1.45254,1.31794,1.41134,0.003466,0.003466,0.003466
68,487.264,1.06848,0.9589,1.19625,0.59223,0.63973,0.6127,0.31628,1.49859,1.28228,1.49103,0.003367,0.003367,0.003367
69,494.593,1.04448,0.93542,1.16238,0.65741,0.55228,0.58476,0.30595,1.49827,1.30477,1.4851,0.003268,0.003268,0.003268
70,503.022,1.02509,0.8823,1.15699,0.60857,0.65423,0.60039,0.30623,1.46195,1.23008,1.45552,0.003169,0.003169,0.003169
71,510.652,1.03564,0.92069,1.18595,0.58518,0.68387,0.59868,0.30553,1.53874,1.29077,1.47294,0.00307,0.00307,0.00307
72,518.052,1.0032,0.90064,1.1685,0.55005,0.67409,0.57111,0.27982,1.59357,1.43264,1.52241,0.002971,0.002971,0.002971
73,525.803,1.00686,0.84328,1.14477,0.58284,0.62289,0.61833,0.33089,1.47656,1.18417,1.4661,0.002872,0.002872,0.002872
74,534.077,1.01463,0.8635,1.16716,0.79926,0.52165,0.64331,0.34029,1.49943,1.18908,1.51062,0.002773,0.002773,0.002773
75,542.305,0.97782,0.83672,1.12471,0.60137,0.67104,0.60693,0.31103,1.52084,1.28494,1.51815,0.002674,0.002674,0.002674
76,550.837,1.00247,0.87296,1.15534,0.61585,0.61742,0.57489,0.29837,1.48971,1.28631,1.47269,0.002575,0.002575,0.002575
77,559.624,0.97885,0.85186,1.14787,0.58985,0.66026,0.61919,0.32384,1.469,1.21066,1.45294,0.002476,0.002476,0.002476
78,568.92,0.99372,0.85583,1.15921,0.57057,0.60246,0.58876,0.29993,1.49101,1.27556,1.46837,0.002377,0.002377,0.002377
79,577.945,0.97483,0.85244,1.13794,0.57102,0.64325,0.60113,0.30446,1.52018,1.22958,1.4826,0.002278,0.002278,0.002278
80,587.08,0.97094,0.83708,1.13783,0.58089,0.65388,0.62499,0.32129,1.45811,1.22276,1.46616,0.002179,0.002179,0.002179
81,596.222,0.97538,0.83977,1.13896,0.56221,0.63544,0.61013,0.32588,1.43958,1.24428,1.4298,0.00208,0.00208,0.00208
