epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5025,1.77631,3.6502,1.74597,0.00323,0.43823,0.05411,0.01912,1.80542,3.83784,1.66651,0.00040008,0.00040008,0.00040008
2,21.0681,1.62315,2.83782,1.59035,0.58375,0.09322,0.06351,0.02631,1.86283,3.52584,1.77916,0.000808743,0.000808743,0.000808743
3,27.4405,1.65765,2.53084,1.62075,0.61231,0.07203,0.06335,0.03037,2.08802,3.52474,2.07608,0.00120916,0.00120916,0.00120916
4,33.8723,1.65731,2.43458,1.60482,0.5894,0.12288,0.10451,0.03844,2.16942,3.7203,2.43304,0.00160132,0.00160132,0.00160132
5,41.7005,1.71419,2.22677,1.62082,0.2459,0.27946,0.14464,0.04757,2.22626,3.30171,2.59606,0.00160099,0.00160099,0.00160099
6,49.7508,1.6997,2.29446,1.64029,0.13768,0.21345,0.09282,0.03895,2.27383,3.58069,2.20534,0.00158448,0.00158448,0.00158448
7,57.9845,1.65352,2.10232,1.5711,0.44514,0.20417,0.17745,0.08612,1.90822,2.89012,1.84898,0.00156798,0.00156798,0.00156798
8,65.4348,1.64931,2.07158,1.58378,0.23708,0.3375,0.17131,0.0601,2.28743,3.24128,2.34562,0.00155148,0.00155148,0.00155148
9,73.5115,1.6433,2.01075,1.57995,0.3661,0.33658,0.29592,0.12089,2.00456,2.7143,1.95718,0.00153497,0.00153497,0.00153497
10,82.7261,1.6034,1.94869,1.58272,0.4095,0.32117,0.30525,0.1401,1.88469,2.27993,1.80574,0.00151847,0.00151847,0.00151847
11,90.5892,1.5273,1.78326,1.49406,0.42445,0.4157,0.35278,0.1632,1.81776,2.30875,1.76822,0.00150197,0.00150197,0.00150197
12,100.28,1.47221,1.70017,1.4811,0.39222,0.35261,0.33198,0.14893,1.95013,2.31475,1.79508,0.00148546,0.00148546,0.00148546
13,110.552,1.52762,1.74533,1.50863,0.31534,0.47136,0.28824,0.13406,1.92199,3.18841,1.89266,0.00146896,0.00146896,0.00146896
14,123.223,1.52712,1.72381,1.51948,0.31281,0.39545,0.34829,0.16553,1.77969,2.30961,1.69029,0.00145246,0.00145246,0.00145246
15,135.389,1.47835,1.59708,1.45277,0.39652,0.43807,0.38625,0.1896,1.77805,2.37352,1.69424,0.00143595,0.00143595,0.00143595
16,148.237,1.46178,1.65352,1.46608,0.40812,0.41709,0.38531,0.19815,1.71627,1.91781,1.61765,0.00141945,0.00141945,0.00141945
17,155.559,1.50089,1.64637,1.46889,0.43657,0.42334,0.36406,0.17771,1.726,2.13107,1.57645,0.00140295,0.00140295,0.00140295
18,164.159,1.42176,1.58641,1.45154,0.43519,0.49607,0.4322,0.20524,1.72078,2.07009,1.64901,0.00138644,0.00138644,0.00138644
19,173.68,1.44099,1.55159,1.44795,0.41408,0.54537,0.44179,0.21936,1.57218,1.74285,1.51378,0.00136994,0.00136994,0.00136994
20,183.588,1.41498,1.52739,1.41816,0.50123,0.46671,0.47436,0.23016,1.66419,1.65906,1.53582,0.00135344,0.00135344,0.00135344
21,193.561,1.39712,1.42962,1.38609,0.39971,0.58061,0.49097,0.23779,1.61568,1.54116,1.49373,0.00133693,0.00133693,0.00133693
22,205.843,1.39271,1.44217,1.41975,0.48972,0.45085,0.45568,0.22811,1.63226,1.73562,1.60331,0.00132043,0.00132043,0.00132043
23,218.325,1.38041,1.45725,1.40191,0.47837,0.44132,0.44022,0.22632,1.58088,1.9447,1.53516,0.00130393,0.00130393,0.00130393
24,233.655,1.3746,1.44408,1.41444,0.4059,0.41023,0.35104,0.16499,1.75066,2.09109,1.59397,0.00128742,0.00128742,0.00128742
25,247.198,1.34365,1.36949,1.36717,0.49995,0.45324,0.48432,0.22576,1.64431,1.66761,1.52761,0.00127092,0.00127092,0.00127092
26,262.111,1.37381,1.38632,1.39745,0.49153,0.51812,0.46668,0.23564,1.62499,1.66129,1.51569,0.00125442,0.00125442,0.00125442
27,279.679,1.36634,1.38537,1.3882,0.48867,0.55064,0.4889,0.23739,1.61224,1.56644,1.5588,0.00123791,0.00123791,0.00123791
28,289.952,1.34587,1.34592,1.37682,0.41606,0.48422,0.46876,0.24969,1.56792,1.76479,1.49766,0.00122141,0.00122141,0.00122141
29,299.228,1.33308,1.36095,1.38452,0.4113,0.52328,0.43842,0.22933,1.61143,1.7737,1.54092,0.00120491,0.00120491,0.00120491
30,307.302,1.32029,1.30921,1.36729,0.3625,0.6069,0.45089,0.23988,1.5439,1.76298,1.46281,0.0011884,0.0011884,0.0011884
31,315.436,1.30362,1.30336,1.35519,0.42758,0.56195,0.48516,0.25657,1.61972,1.52222,1.52704,0.0011719,0.0011719,0.0011719
32,323.75,1.3135,1.31375,1.34673,0.64349,0.44543,0.50543,0.26584,1.56693,1.51631,1.50233,0.0011554,0.0011554,0.0011554
33,332.833,1.28919,1.23783,1.33501,0.44657,0.51547,0.44834,0.23,1.72399,1.60474,1.65128,0.00113889,0.00113889,0.00113889
34,342.874,1.34223,1.25801,1.35325,0.43533,0.52015,0.45172,0.23594,1.61029,1.54854,1.54849,0.00112239,0.00112239,0.00112239
35,354.43,1.27909,1.22698,1.31165,0.52429,0.47641,0.49884,0.27786,1.53879,1.42829,1.49534,0.00110589,0.00110589,0.00110589
36,366.136,1.25325,1.17424,1.31535,0.45722,0.60716,0.54056,0.28227,1.53434,1.41456,1.50915,0.00108938,0.00108938,0.00108938
37,377.26,1.2823,1.23343,1.33346,0.49143,0.56009,0.48109,0.25134,1.53756,1.50185,1.5095,0.00107288,0.00107288,0.00107288
38,390.087,1.26238,1.23066,1.31999,0.52907,0.41911,0.41882,0.2076,1.64141,1.83761,1.49988,0.00105638,0.00105638,0.00105638
