epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5449,1.46764,10.6621,0.94716,0.00228,0.44068,0.00926,0.00394,0.83971,1.2018,0.63938,0.00040008,0.00040008,0.00040008
2,26.5838,0.78854,1.20133,0.52811,0.07026,0.22172,0.0473,0.01653,1.14728,0.82742,1.09035,0.000808743,0.000808743,0.000808743
3,39.4887,0.66486,1.13596,0.40364,0.21339,0.39275,0.23917,0.10807,0.7328,1.62285,0.4963,0.00120916,0.00120916,0.00120916
4,52.3822,0.55019,1.04094,0.38624,0.25446,0.31519,0.19577,0.09263,0.86227,1.22004,0.72819,0.00160132,0.00160132,0.00160132
5,64.594,0.56189,0.95393,0.38697,0.32136,0.28375,0.21559,0.10645,0.8177,1.06039,0.76829,0.00160099,0.00160099,0.00160099
6,76.7953,0.47961,0.9438,0.2702,0.42996,0.35935,0.35168,0.19874,0.59611,0.97934,0.42922,0.00158448,0.00158448,0.00158448
7,89.736,0.54931,0.86002,0.31656,0.38956,0.42179,0.34671,0.19797,0.56846,0.96955,0.41037,0.00156798,0.00156798,0.00156798
8,102.49,0.46759,0.81145,0.27604,0.48253,0.46819,0.40688,0.23943,0.53091,0.89573,0.35443,0.00155148,0.00155148,0.00155148
9,115.58,0.53058,0.84907,0.34549,0.27965,0.19384,0.15359,0.08062,1.28951,0.6365,1.16943,0.00153497,0.00153497,0.00153497
10,127.681,0.48122,0.82929,0.28768,0.25925,0.25292,0.2009,0.10337,1.0279,0.79832,0.92623,0.00151847,0.00151847,0.00151847
11,139.817,0.51524,0.89398,0.31058,0.34039,0.37942,0.2985,0.1404,0.6211,1.02709,0.43228,0.00150197,0.00150197,0.00150197
12,152.492,0.49126,0.78786,0.26713,0.38723,0.443,0.36373,0.18429,0.57074,0.99674,0.41202,0.00148546,0.00148546,0.00148546
13,164.556,0.54975,0.80992,0.31471,0.51039,0.42894,0.40773,0.22756,0.52092,0.97255,0.3785,0.00146896,0.00146896,0.00146896
14,176.551,0.50465,0.79237,0.31025,0.5245,0.5001,0.5026,0.28263,0.56239,0.81012,0.36042,0.00145246,0.00145246,0.00145246
15,189.372,0.47339,0.78929,0.2641,0.56693,0.43629,0.4578,0.26749,0.57007,0.82058,0.38913,0.00143595,0.00143595,0.00143595
16,201.793,0.47957,0.78636,0.28225,0.55258,0.4662,0.46684,0.27172,0.54793,1.10439,0.38608,0.00141945,0.00141945,0.00141945
17,213.748,0.4852,0.8045,0.30476,0.32414,0.43807,0.32986,0.18978,0.6687,0.97223,0.50066,0.00140295,0.00140295,0.00140295
18,226.271,0.49517,0.78891,0.3199,0.41555,0.49142,0.33591,0.1564,0.52491,1.10303,0.3645,0.00138644,0.00138644,0.00138644
19,238.396,0.47238,0.88788,0.28413,0.55296,0.5106,0.50056,0.28883,0.49266,0.91398,0.36092,0.00136994,0.00136994,0.00136994
20,251.459,0.47215,0.83853,0.30611,0.38569,0.39795,0.31637,0.17795,0.6135,0.97357,0.43385,0.00135344,0.00135344,0.00135344
21,263.636,0.44404,0.74991,0.24505,0.56456,0.47733,0.50059,0.28077,0.53703,0.85606,0.34948,0.00133693,0.00133693,0.00133693
22,275.671,0.44591,0.78934,0.26597,0.53807,0.47588,0.4513,0.26199,0.53525,0.89543,0.36675,0.00132043,0.00132043,0.00132043
23,288.033,0.48049,0.71064,0.29941,0.5125,0.48579,0.47572,0.28334,0.52816,0.91975,0.37902,0.00130393,0.00130393,0.00130393
24,300.007,0.42157,0.75751,0.2776,0.50548,0.51614,0.50842,0.29735,0.51555,0.83548,0.32748,0.00128742,0.00128742,0.00128742
25,312.91,0.39935,0.72168,0.26932,0.55356,0.49316,0.52479,0.28171,0.52518,0.82194,0.33438,0.00127092,0.00127092,0.00127092
26,325.632,0.43932,0.70006,0.21599,0.65169,0.56814,0.59134,0.34741,0.50103,0.78,0.33368,0.00125442,0.00125442,0.00125442
27,338.787,0.45122,0.68862,0.2517,0.53733,0.55207,0.51349,0.28726,0.53678,0.80878,0.37696,0.00123791,0.00123791,0.00123791
28,351.306,0.41395,0.6835,0.25188,0.59689,0.57127,0.57194,0.34898,0.44618,0.87636,0.31,0.00122141,0.00122141,0.00122141
29,363.192,0.4411,0.70452,0.22928,0.60425,0.51057,0.54705,0.33263,0.56494,0.73604,0.40319,0.00120491,0.00120491,0.00120491
30,375.148,0.40407,0.7139,0.23819,0.62254,0.54965,0.57647,0.34066,0.5572,0.74669,0.41726,0.0011884,0.0011884,0.0011884
31,387.499,0.42635,0.71153,0.23763,0.54884,0.54671,0.55767,0.3182,0.48469,0.81303,0.33766,0.0011719,0.0011719,0.0011719
32,400.056,0.44371,0.70243,0.22674,0.53573,0.48045,0.49025,0.28884,0.56911,0.84761,0.42646,0.0011554,0.0011554,0.0011554
33,412.244,0.44889,0.68717,0.21757,0.58735,0.54738,0.54849,0.32412,0.508,0.86642,0.37955,0.00113889,0.00113889,0.00113889
34,424.349,0.36413,0.65412,0.19718,0.52106,0.48768,0.49207,0.29204,0.50173,0.86441,0.30919,0.00112239,0.00112239,0.00112239
35,436.318,0.41799,0.60876,0.21703,0.52831,0.56942,0.51871,0.31312,0.51912,0.81872,0.376,0.00110589,0.00110589,0.00110589
36,448.743,0.36664,0.62881,0.20695,0.56982,0.59756,0.59573,0.35821,0.48101,0.7487,0.34863,0.00108938,0.00108938,0.00108938
37,461.126,0.3831,0.64391,0.22264,0.53403,0.55585,0.52363,0.30818,0.53765,0.81167,0.38122,0.00107288,0.00107288,0.00107288
38,473.079,0.39991,0.63288,0.22575,0.54084,0.51547,0.49273,0.30148,0.52403,0.83048,0.37829,0.00105638,0.00105638,0.00105638
39,485.342,0.35989,0.62681,0.18993,0.62791,0.54595,0.54379,0.31383,0.51472,0.8016,0.36884,0.00103987,0.00103987,0.00103987
40,497.673,0.3959,0.66061,0.23963,0.60638,0.60471,0.57792,0.33403,0.49156,0.77514,0.34684,0.00102337,0.00102337,0.00102337
41,509.612,0.4172,0.64294,0.21487,0.63437,0.53999,0.56993,0.33856,0.49355,0.81314,0.30562,0.00100687,0.00100687,0.00100687
42,522.198,0.36769,0.68795,0.22103,0.63499,0.49071,0.55176,0.33438,0.50699,0.82836,0.36528,0.000990365,0.000990365,0.000990365
43,534.55,0.38195,0.59334,0.21304,0.62032,0.60605,0.5882,0.34487,0.51722,0.74019,0.3437,0.000973861,0.000973861,0.000973861
44,546.887,0.39983,0.64215,0.23037,0.56795,0.57673,0.58534,0.34487,0.50992,0.77543,0.33477,0.000957358,0.000957358,0.000957358
45,558.69,0.39774,0.60608,0.20021,0.62209,0.63483,0.61542,0.3516,0.53404,0.73741,0.34075,0.000940855,0.000940855,0.000940855
46,570.975,0.3775,0.62215,0.23242,0.5936,0.5915,0.58389,0.33544,0.51247,0.78007,0.36504,0.000924352,0.000924352,0.000924352
47,583.073,0.33002,0.67797,0.17577,0.62321,0.53711,0.59178,0.34886,0.48381,0.87589,0.36824,0.000907848,0.000907848,0.000907848
48,595.086,0.37487,0.65433,0.21143,0.60995,0.5534,0.54911,0.30829,0.54668,0.86376,0.40364,0.000891345,0.000891345,0.000891345
49,606.987,0.38986,0.62012,0.19087,0.61503,0.49673,0.53808,0.30552,0.59614,0.79944,0.40113,0.000874842,0.000874842,0.000874842
50,619.311,0.33386,0.59077,0.23447,0.68697,0.57438,0.60963,0.34557,0.49747,0.8413,0.37225,0.000858338,0.000858338,0.000858338
51,631.637,0.31965,0.59103,0.20215,0.68969,0.54121,0.56122,0.33134,0.51522,0.81544,0.41765,0.000841835,0.000841835,0.000841835
52,644.332,0.33655,0.59186,0.19953,0.64355,0.55844,0.57968,0.34302,0.52996,0.77431,0.38159,0.000825332,0.000825332,0.000825332
53,656.089,0.38545,0.59763,0.24124,0.6114,0.60077,0.5835,0.33044,0.53525,0.74383,0.40584,0.000808828,0.000808828,0.000808828
54,668.32,0.33737,0.58546,0.18677,0.60578,0.62991,0.58468,0.34933,0.49782,0.79082,0.34236,0.000792325,0.000792325,0.000792325
55,680.862,0.30758,0.59242,0.1548,0.62961,0.61854,0.57529,0.32755,0.53515,0.74361,0.41283,0.000775822,0.000775822,0.000775822
56,692.827,0.35169,0.56071,0.21394,0.6976,0.57563,0.57779,0.33712,0.52973,0.83778,0.39575,0.000759318,0.000759318,0.000759318
57,704.651,0.351,0.5099,0.18471,0.65361,0.5769,0.58309,0.33717,0.50606,0.74335,0.3672,0.000742815,0.000742815,0.000742815
58,716.56,0.31625,0.53865,0.18463,0.61307,0.54671,0.5577,0.3231,0.52227,0.75787,0.38447,0.000726312,0.000726312,0.000726312
59,728.67,0.31787,0.55094,0.15395,0.64516,0.62404,0.57912,0.34195,0.53526,0.86112,0.41312,0.000709809,0.000709809,0.000709809
60,741.346,0.31215,0.52628,0.17156,0.65678,0.59763,0.61042,0.35841,0.50396,0.78293,0.35478,0.000693305,0.000693305,0.000693305
61,754.459,0.3353,0.55766,0.18166,0.61765,0.58709,0.5588,0.34229,0.52436,0.81791,0.36427,0.000676802,0.000676802,0.000676802
62,766.4,0.31466,0.50592,0.17585,0.65227,0.59491,0.598,0.36257,0.50258,0.80136,0.35329,0.000660299,0.000660299,0.000660299
63,779.009,0.33714,0.48446,0.19384,0.60563,0.60292,0.58543,0.34637,0.5408,0.81809,0.41597,0.000643795,0.000643795,0.000643795
64,790.874,0.33382,0.55449,0.20048,0.58882,0.61185,0.57316,0.34223,0.53536,0.79364,0.40725,0.000627292,0.000627292,0.000627292
65,802.705,0.32431,0.5583,0.18019,0.60313,0.5819,0.57385,0.33365,0.52839,0.77943,0.3806,0.000610789,0.000610789,0.000610789
66,814.931,0.31492,0.53118,0.1994,0.62851,0.62178,0.58514,0.33934,0.53177,0.79815,0.36564,0.000594286,0.000594286,0.000594286
67,826.829,0.29703,0.50822,0.15782,0.60751,0.6059,0.59204,0.3393,0.56728,0.73919,0.4101,0.000577782,0.000577782,0.000577782
68,838.989,0.32049,0.53182,0.17054,0.60904,0.62519,0.59427,0.34383,0.54141,0.7684,0.42978,0.000561279,0.000561279,0.000561279
69,850.9,0.30517,0.52901,0.21652,0.69153,0.5599,0.59872,0.34612,0.52728,0.73068,0.39193,0.000544776,0.000544776,0.000544776
70,862.786,0.3042,0.52067,0.16686,0.64665,0.61479,0.58118,0.32111,0.54897,0.82528,0.43981,0.000528272,0.000528272,0.000528272
71,875.093,0.31522,0.49624,0.16931,0.60464,0.65892,0.5731,0.32097,0.55831,0.70125,0.43589,0.000511769,0.000511769,0.000511769
72,886.987,0.30283,0.5174,0.19209,0.67553,0.50195,0.57425,0.34276,0.51956,0.73939,0.3921,0.000495266,0.000495266,0.000495266
73,898.817,0.31446,0.475,0.17673,0.66412,0.57532,0.59826,0.3524,0.54454,0.7855,0.37683,0.000478762,0.000478762,0.000478762
74,911.101,0.32341,0.50356,0.17511,0.67837,0.54828,0.60165,0.35492,0.49592,0.77653,0.33379,0.000462259,0.000462259,0.000462259
75,923.31,0.32171,0.51893,0.1979,0.61593,0.57214,0.58841,0.34006,0.53943,0.72798,0.42724,0.000445756,0.000445756,0.000445756
76,935.835,0.30201,0.49065,0.15584,0.6398,0.63304,0.5924,0.34875,0.51375,0.69355,0.41933,0.000429253,0.000429253,0.000429253
77,947.988,0.31417,0.4599,0.16022,0.66944,0.57047,0.56843,0.33241,0.53053,0.70706,0.40491,0.000412749,0.000412749,0.000412749
